film_id;remote_film_id;name;budget;popularity;release_date;revenue;vote_average;vote_count;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western;Music
53;770;Gone with the Wind;4000000;10.829;1939;400176459;7.9;1549;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
54;489;Good Will Hunting;10000000;12.173;1997;225933435;8.0;4892;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
55;769;Goodfellas;25000000;15.767;1990;46836394;8.4;4924;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
56;13223;Gran Torino;33000000;12.381;2008;269958228;7.9;5028;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
57;137;Groundhog Day;14600000;13.01;1993;70906973;7.5;3548;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
58;12445;Harry Potter and the Deathly Hallows: Part 2;125000000;29.183;2011;1342000000;8.1;10084;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
59;11787;Harvey;0;6.601;1950;0;7.8;244;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
60;949;Heat;60000000;13.089;1995;187436818;7.8;2823;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
61;288;High Noon;730000;7.109;1952;8000000;7.7;530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
62;205;Hotel Rwanda;17500000;8.348;2004;38000000;7.7;1259;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
63;10191;How to Train Your Dragon;165000000;18.186;2010;494878759;7.7;6475;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
64;429;Il buono, il brutto, il cattivo;1200000;13.978;1966;6000000;8.3;3546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
65;7984;In the Name of the Father;13000000;7.446;1993;65796862;7.8;636;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
66;46738;Incendies;10000000;5.515;2010;0;8.0;869;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
67;27205;Inception;160000000;27.33;2010;825532764;8.2;19929;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
68;89;Indiana Jones and the Last Crusade;48000000;14.673;1989;474171806;7.7;4762;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;10775;Infernal Affairs;0;8.278;2002;8708932;7.8;688;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0
70;16869;Inglourious Basterds;70000000;17.615;2009;319131050;8.1;10394;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
71;5915;Into the Wild;15000000;9.672;2007;56255142;7.8;5049;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
72;77338;Intouchables;13000000;15.128;2011;426480871;8.2;8666;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;3078;It Happened One Night;325000;7.783;1934;4500000;7.8;428;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
74;1585;It's a Wonderful Life;3180000;26.585;1946;9644124;8.2;1740;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
75;103663;Jagten;3800000;9.163;2012;18309793;8.0;1435;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
76;578;Jaws;7000000;16.253;1975;470700000;7.6;4277;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
77;329;Jurassic Park;63000000;12.526;1993;920100000;7.8;7899;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
78;81;Kaze no tani no Naushika;1000000;10.282;1984;3301446;7.8;1255;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
79;24;Kill Bill: Vol. 1;30000000;15.598;2003;180949045;7.9;8144;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;2118;L.A. Confidential;35000000;11.733;1997;126216940;7.8;2049;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0
81;947;Lawrence of Arabia;15000000;10.265;1962;69995385;8.0;1284;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
82;87827;Life of Pi;120000000;12.133;2012;609016565;7.3;7989;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
